iter	Passed	Remaining
0	55	27731
1	94	23438
2	139	23162
3	192	23891
4	251	24927
5	306	25237
6	371	26183
7	428	26372
8	480	26231
9	534	26192
10	587	26120
11	636	25878
12	696	26090
13	771	26766
14	818	26459
15	863	26131
16	911	25899
17	958	25674
18	1003	25394
19	1042	25028
20	1096	25002
21	1156	25120
22	1215	25213
23	1260	24996
24	1315	24985
25	1360	24802
26	1407	24657
27	1453	24497
28	1509	24510
29	1574	24672
30	1629	24655
31	1666	24373
32	1709	24194
33	1758	24099
34	1798	23892
35	1841	23732
36	1924	24081
37	1982	24101
38	2035	24063
39	2087	24001
40	2160	24187
41	2214	24146
42	2274	24171
43	2331	24158
44	2414	24408
45	2461	24293
46	2506	24162
47	2570	24209
48	2612	24046
49	2734	24612
50	2883	25389
51	2994	25799
52	3034	25591
53	3075	25404
54	3117	25223
55	3157	25037
56	3205	24916
57	3272	24937
58	3321	24826
59	3364	24669
60	3402	24483
61	3443	24324
62	3484	24169
63	3524	24011
64	3566	23865
65	3607	23721
66	3668	23709
67	3712	23583
68	3748	23416
69	3823	23485
70	3878	23434
71	3927	23344
72	3986	23316
73	4043	23276
74	4113	23312
75	4167	23249
76	4212	23143
77	4251	23004
78	4291	22867
79	4328	22722
80	4369	22602
81	4408	22474
82	4446	22342
83	4505	22312
84	4551	22221
85	4593	22111
86	4636	22007
87	4679	21909
88	4719	21792
89	4762	21694
90	4805	21600
91	4846	21491
92	4912	21499
93	4961	21429
94	5008	21354
95	5059	21289
96	5098	21182
97	5138	21079
98	5178	20974
99	5216	20866
100	5258	20772
101	5304	20697
102	5343	20593
103	5382	20493
104	5432	20438
105	5472	20341
106	5512	20245
107	5554	20161
108	5611	20130
109	5665	20086
110	5722	20053
111	5771	19993
112	5825	19952
113	5878	19904
114	5939	19884
115	5982	19804
116	6024	19722
117	6076	19670
118	6124	19610
119	6168	19533
120	6208	19445
121	6252	19371
122	6296	19299
123	6335	19212
124	6376	19128
125	6418	19052
126	6459	18972
127	6499	18888
128	6541	18812
129	6613	18824
130	6675	18804
131	6725	18748
132	6776	18698
133	6799	18572
134	6856	18537
135	6914	18506
136	6981	18497
137	7040	18468
138	7102	18447
139	7157	18404
140	7203	18339
141	7252	18283
142	7307	18244
143	7363	18204
144	7420	18167
145	7479	18135
146	7540	18106
147	7585	18040
148	7648	18018
149	7720	18014
150	7789	18004
151	7837	17942
152	7882	17877
153	7929	17814
154	7977	17757
155	8023	17692
156	8082	17656
157	8139	17617
158	8202	17592
159	8259	17550
160	8317	17514
161	8371	17466
162	8423	17415
163	8471	17356
164	8535	17329
165	8582	17267
166	8630	17209
167	8682	17157
168	8733	17104
169	8781	17047
170	8829	16988
171	8880	16934
172	8937	16893
